type,topic,question,answer,options,correctOption,explanation
mc,"Lecture 2","Hva er forskjellen mellom et problem og en problem-instans innenfor algoritmer?",,"Et problem er vanskeligere å løse enn en problem-instans|Et problem er en generell beskrivelse, mens en problem-instans er et spesifikt tilfelle med konkrete inndata|Et problem krever alltid en algoritme, mens en problem-instans kan løses manuelt|Et problem har kun én løsning, mens en problem-instans kan ha flere løsninger",1,"Et problem er en generell beskrivelse av hva inndataene ser ut som og hva den ønskede utdataen skal være, for eksempel sortering av en liste. En problem-instans er et spesifikt tilfelle av problemet med konkrete inndata, som for eksempel listen [3, 9, 1, 42, 17]."
mc,"Lecture 2","Forklar hva asymptotisk notasjon brukes til i forbindelse med algoritmeanalyse.",,"For å måle nøyaktig kjøretid i sekunder for alle typer algoritmer|For å analysere hvordan kjøretiden oppfører seg|For å telle antall linjer kode i en algoritme|For å sammenligne konstante faktorer mellom algoritmer",1,"Asymptotisk notasjon er et verktøy for å analysere hvordan kjøretiden til en algoritme (eller veksten til en matematisk funksjon) oppfører seg når størrelsen på inndataene blir veldig stor. Det hjelper oss med å sammenligne effektiviteten til forskjellige algoritmer ved å fokusere på den dominerende veksttermen og ignorere konstante faktorer og lavere ordens termer."
qa,"Lecture 2","Nevn og beskriv kort de tre hovedkategoriene av asymptotisk notasjon som ble presentert.","Big-O notasjon (𝑂) gir en øvre grense for veksten til en funksjon; 𝑓(𝑛) = 𝑂(𝑔(𝑛)) betyr at 𝑓 ikke vokser raskere enn 𝑔. Big-omega notasjon (Ω) gir en nedre grense; 𝑓(𝑛) = Ω(𝑔(𝑛)) betyr at 𝑓 ikke vokser saktere enn 𝑔. Big-theta notasjon (Θ) betyr at to funksjoner vokser i samme takt; 𝑓(𝑛) = Θ(𝑔(𝑛)) betyr at 𝑓 og 𝑔 har samme vekstrate.",,,
qa,"Lecture 2","Hva er den typiske strukturen som kjennetegner sorteringsalgoritmer med kvadratisk tidskompleksitet?","Kvadratiske sorteringsalgoritmer har typisk to nøstede løkker der begge løkkene itererer over (omtrent) alle elementene i inndataene. Dette resulterer i et antall operasjoner som er proporsjonalt med kvadratet av inndatastørrelsen (𝑛²).",,,
qa,"Lecture 2","Hvorfor har sammenligningsbaserte sorteringsalgoritmer en nedre grense på Ω(𝑛 log 𝑛) i verste fall?","Sammenligningsbaserte sorteringsalgoritmer bestemmer rekkefølgen av elementer kun ved å sammenligne par av elementer. Det er bevist at i verste fall kreves det minst logaritmen av antall mulige permutasjoner (som er 𝑛!) for å garantere at listen er sortert, og log₂(𝑛!) er i Ω(𝑛 log 𝑛).",,,
qa,"Lecture 2","Gi et eksempel på en operasjon som ikke regnes som et primitivt steg i kompleksitetsanalyse og forklar hvorfor.","Sammenligning eller konkatenering av strenger regnes vanligvis ikke som et primitivt steg. Dette er fordi operasjonene kan ta en tid som er proporsjonal med lengden på strengene, og dermed ikke en konstant tidsbruk uavhengig av inndatastørrelsen.",,,
qa,"Lecture 2","Hva er et viktig hensyn å ta når man analyserer tidskompleksiteten til kode som bruker bibliotekfunksjoner?","Når man analyserer kode med bibliotekfunksjoner, er det viktig å kjenne til (eller undersøke) tidskompleksiteten til disse funksjonene. En enkelt linje kode som kaller en bibliotekfunksjon kan skjule en ikke-konstant tidsoperasjon, noe som påvirker den totale kompleksiteten til algoritmen.",,,
qa,"Lecture 2","Beskriv ""bad painter's algorithm"" i forbindelse med strengkonkatenering i språk med immutable strings.","""Bad painter's algorithm"" refererer til ineffektiv gjentatt konkatenering av strenger i språk der strenger er immutable. Hver konkatenering skaper en ny streng og kopierer innholdet fra de gamle strengene, noe som fører til en kvadratisk tidskompleksitet (Θ(𝑛²)) hvis man gjentatte ganger legger til små strenger til en stadig voksende streng.",,,
qa,"Lecture 2","Hva er den grunnleggende ideen bak amortisert tidskompleksitet, og i hvilke situasjoner kan det være en ulempe?","Amortisert tidskompleksitet beskriver den gjennomsnittlige kostnaden per operasjon over en sekvens av operasjoner, selv om enkelte individuelle operasjoner kan ha en høyere kostnad. Dette oppstår ofte når man dynamisk endrer størrelsen på datastrukturer, som for eksempel ved å doble størrelsen på en array når den er full. I sanntidssystemer med strenge tidsbegrensninger kan den variable kjøretiden til individuelle operasjoner være problematisk.",,,
qa,"Lecture 2","Nevn to eksempler på velkjente algoritmer eller datastrukturer (uten å beskrive hvordan de fungerer) og forklar kort hvilke problemer de løser.","Et balansert binært søketre er en datastruktur som tillater effektiv søking, innsetting og sletting av elementer i logaritmisk tid. Dijkstras algoritme er en algoritme for å finne den korteste stien fra en gitt startnode til alle andre noder i en vektet graf uten negative kantvekter.",,,
